onset	duration	fg	artist	title	year
121.127	31.0	0	OST	instrumental	
160.447	18.56	1	Tommy James & The Shondells	Hanky Panky	1964.0
199.727	47.12	1	Bob Dylan (performed by Jenny)	Blowin' In The Wind	1963.0
276.967	16.84	0	Wilson Picket	Land of 1000 Dances	1966.0
293.807	19.8	0	OST	instrumental	
313.607	24.4	1	OST	instrumental	
347.007	51.56	1	OST	instrumental	
398.572	39.84	1	Creedence Clearwater Revival	Fortunate Son	1969.0
438.412	33.6	1	Four Tops	I Can't Help Myself (Sugar Pie Honey Bunch)	1965.0
472.012	61.56	0	Aretha Franklin	Respect	1967.0
564.612	16.4	0	Bob Dylan	Rainy Day Women #12 & 35	1966.0
581.012	24.28	0	Beach Boys	Sloop John B	1966.0
607.532	31.84	1	The Jimi Hendrix Experience	All Along The Watchtower	1968.0
713.132	54.88	1	The Doors	Soul Kitchen	1966.0
827.772	38.88	1	The Mamas and the Papas	California dreamin	1966.0
