onset	duration	fg	artist	title	year
121.109	31.0	0	OST	instrumental	
160.429	18.56	1	Tommy James & The Shondells	Hanky Panky	1964
199.709	47.12	1	Bob Dylan (performed by Jenny)	Blowin' In The Wind	1963
276.949	16.84	0	Wilson Picket	Land of 1000 Dances	1966
293.789	19.8	0	OST	instrumental	
313.589	24.4	1	OST	instrumental	
346.989	51.56	1	OST	instrumental	
398.541	39.84	1	Creedence Clearwater Revival	Fortunate Son	1969
438.381	33.6	1	Four Tops	I Can't Help Myself (Sugar Pie Honey Bunch)	1965
471.981	61.56	0	Aretha Franklin	Respect	1967
564.581	16.4	0	Bob Dylan	Rainy Day Women #12 & 35	1966
580.981	24.28	0	Beach Boys	Sloop John B	1966
607.501	31.84	1	The Jimi Hendrix Experience	All Along The Watchtower	1968
713.101	54.88	1	The Doors	Soul Kitchen	1966
827.741	38.88	1	The Mamas and the Papas	California dreamin	1966
